dataset,transition,kind,n_fixed_mut,n_100,r_100,r_100_null,r_100_sim_latent,r_100_sim_noisy,r_100_w,n_95,cut_95,r_95,r_95_null,r_95_sim_latent,r_95_sim_noisy,n_90,cut_90,r_90,r_90_null,r_90_sim_latent,r_90_sim_noisy,sim_t,sim_walks,sim_walk_len,excluded
Limdi rep,REL606 green -> red,control,0,3499,0.9526,0.9563,,,0.9527,3325,0.2468,0.8672,0.8332,,,3150,0.0851,0.6499,0.5424,,,,,,
Limdi rep,REL607 green -> red,control,0,3509,0.9661,0.9604,,,0.9613,3334,0.2828,0.9088,0.8714,,,3159,0.1045,0.707,0.6122,,,,,,
Limdi rep,Ara-1 green -> red,control,0,3523,0.9389,0.9555,,,0.954,3347,0.3341,0.9041,0.862,,,3171,0.1039,0.6986,0.5255,,,,,,
Limdi Ara-1,REL606 -> Ara-1,evolved,1100,3441,0.8686,0.975,0.8825,0.8526,0.7803,3269,0.2369,0.5636,0.8598,0.6149,0.5225,3097,0.07776,0.2935,0.5539,0.3049,0.2291,peak,500,18.0,
Limdi rep,Ara-2 green -> red,control,0,3445,0.8789,0.8868,,,0.9823,3273,0.09777,0.6994,0.7077,,,3101,0.04456,0.5458,0.5932,,,,,,sweeping mutants bias assay
Limdi Ara-2,REL606 -> Ara-2,evolved,1000,3361,0.5317,0.9464,0.8821,0.8594,0.179,3193,0.2388,0.008026,0.7396,0.6177,0.5463,3025,0.0806,-0.08119,0.5431,0.3112,0.2444,peak,500,19.0,sweeping mutants bias assay
Limdi rep,Ara-3 green -> red,control,0,3349,0.981,0.9794,,,0.971,3182,0.3728,0.9659,0.9557,,,3015,0.1801,0.8926,0.8228,,,,,,
Limdi Ara-3,REL606 -> Ara-3,evolved,800,3230,0.891,0.9835,0.8823,0.8561,0.7726,3069,0.2559,0.674,0.9254,0.6193,0.5428,2907,0.09188,0.3196,0.663,0.3067,0.2428,peak,500,19.0,
Limdi rep,Ara-4 green -> red,control,0,3388,0.9692,0.9658,,,0.9663,3219,0.2874,0.9247,0.9042,,,3050,0.09076,0.6624,0.6058,,,,,,
Limdi Ara-4,REL606 -> Ara-4,evolved,1300,3309,0.8965,0.9788,0.882,0.8566,0.809,3144,0.2455,0.6758,0.8969,0.6159,0.5385,2979,0.07776,0.3141,0.5788,0.3069,0.2399,peak,500,19.0,
Limdi rep,Ara-5 green -> red,control,0,3479,0.9628,0.9673,,,0.963,3306,0.2691,0.9286,0.9012,,,3132,0.08924,0.74,0.632,,,,,,
Limdi Ara-5,REL606 -> Ara-5,evolved,90,3411,0.9054,0.9796,0.8822,0.8581,0.8166,3241,0.2327,0.6819,0.9019,0.6175,0.5427,3070,0.07078,0.3417,0.6083,0.3072,0.2418,peak,500,19.0,
Limdi rep,Ara-6 green -> red,control,0,3447,0.9678,0.9543,,,0.9576,3275,0.2026,0.871,0.7866,,,3103,0.06162,0.6973,0.5711,,,,,,
