"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"	"qlty"
"3"	"IR1"	"IR1-1"	29	2	147	219	230	129	136	861	0.148936170212766	"F"	-0.0134619939923316	-0.0128329552367026	-0.0121805772670507	0.00318074071449046	0.00320161070995124	0.00321103782253066	0.0241362927224109	0.0278572209100109	0.0321497489364905	28.0828081420073	32.9438546325754	64.309247393818	0
"11"	"thrC"	"thrC-5"	4995	2	11	18	19	11	18	77	0.981337480559876	"F"	-107	NA	-107	-107	-107	-107	-107	-107	-107	-107	-107	-107	0
"13"	"IR4"	"IR4-1"	5024	4	50	59	82	45	57	293	0.018957345971564	"F"	-0.00349348596808553	-0.00395130507636841	-0.00432936353067695	0.00524444180241321	0.00508012215342001	0.00489391514206276	0.552973009599666	0.493393729238333	0.441501492401681	364.890522549569	736.732324978711	3795.18259112848	0
"17"	"IR4"	"IR4-4"	5183	2	18	28	20	15	20	101	0.772511848341232	"F"	-0.00940063683687247	-0.00980620690695594	-0.00996247621814667	0.00831093173911012	0.00751523025994933	0.00681983442103723	0.340255562755472	0.283014295104883	0.240204593545601	536.682227401531	122.73291696847	33.9591737072098	0
"19"	"IR4"	"IR4-5"	5217	4	26	23	49	20	29	147	0.933649289099526	"F"	-0.00237835412109402	-0.0043146857024769	-0.00532112973387837	0.0140378060658995	0.0132114274843923	0.0122714549855598	0.876242538366043	0.76543809188918	0.693854450544683	23.2597560168518	149.897123757986	42.3614611911459	0
"21"	"yaaX"	"yaaX-1"	5249	4	77	65	67	87	64	360	0.0574324324324324	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"23"	"yaaX"	"yaaX-2"	5309	8	43	69	107	63	68	350	0.260135135135135	"F"	0.00930159843749759	0.00891389064299498	0.00825764973914322	0.00774508259906227	0.00845706476207058	0.00916440753997394	0.315937330787812	0.369263956979958	0.433969718225422	27.0475771459611	20.3981022228436	22.8128683279779	0
"27"	"yaaX"	"yaaX-4"	5412	2	86	132	198	148	168	732	0.608108108108108	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"29"	"yaaX"	"yaaX-5"	5471	3	63	82	74	39	63	321	0.807432432432432	"F"	-0.0144655210878096	-0.0144533716866341	-0.0143819039211396	0.00724203173399592	0.00656830663602046	0.00597311702872013	0.139672176143552	0.11512121261516	0.0952072625148341	221.413432208105	715.356116637844	8545.74478905248	0
"31"	"IR5"	"IR5-3"	5614	1	11	11	7	6	9	44	0.562913907284768	"F"	-0.018714367900004	-0.0213816642480648	-0.0226672130935193	0.0161643742091982	0.0131784535561075	0.0108820108428193	0.330767355498609	0.203157249484853	0.128633603783217	1004.33405441554	171.676438087998	152.030802537352	0
"33"	"yaaA"	"yaaA-1"	5684	10	79	97	105	73	109	463	0.0038659793814433	"C"	0.00203507698825302	0.00198051666637299	0.00192559936704675	0.00638548697741347	0.0061444257116979	0.00587607293724877	0.770851376164768	0.768360918399409	0.764674388348655	100.395313334185	83.1835855918118	76.8845170018027	0
"35"	"yaaA"	"yaaA-2"	5838	12	162	173	247	154	160	896	0.202319587628866	"C"	-0.00556963052070546	-0.00611956418800631	-0.00650112438938717	0.00743175766492686	0.00706294264230966	0.0066196218493702	0.508008393235216	0.449993290583534	0.398470644632706	19.2641932723328	26.583223697585	37.0131231143587	0
"37"	"yaaA"	"yaaA-3"	6010	8	205	338	268	207	219	1237	0.423969072164948	"C"	-0.00851323927549937	-0.00848871975698496	-0.0083548192969107	0.00636026860662642	0.0062906812544904	0.00622500899051584	0.273130969957271	0.270006610428463	0.272085749703221	3.25923325805622	2.90939500661664	3.35872130967475	0
"39"	"yaaA"	"yaaA-4"	6195	1	26	24	25	18	15	108	0.662371134020619	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"41"	"yaaA"	"yaaA-5"	6319	5	79	105	95	76	95	450	0.822164948453608	"C"	-0.00262964333723247	-0.00287452595988071	-0.00307508671671574	0.00651213182827882	0.00591622912823946	0.00536010194459868	0.713415376929086	0.660335914942409	0.606357968152311	498.916654536541	130.800826636922	71.1066143567427	0
"43"	"IR6"	"IR6"	6479	3	36	70	69	52	62	289	0.308823529411765	"F"	0.00888028214015049	0.00832144553883247	0.00771775371602069	0.00482730197667193	0.00493703157256088	0.00501311399315564	0.163103549864062	0.190476037202058	0.221310616372114	23.3198220409483	17.23407655243	12.6065201431133	0
"45"	"yaaJ"	"yaaJ-1"	6528	21	548	704	731	590	616	3189	0.000699300699300699	"C"	-0.00247204034745116	-0.00236292096268062	-0.00220208925238389	0.00596965024147704	0.00596340672924252	0.0059190743312197	0.706625932330216	0.718430853963166	0.73459387376229	8.2354340294157	9.05881008263352	10.2381527726324	0
"47"	"yaaJ"	"yaaJ-2"	6851	12	271	356	321	236	258	1442	0.226573426573427	"C"	-0.010965284719868	-0.0112372118932309	-0.0114232326087047	0.00482398837609424	0.00455562695017755	0.00429747492769396	0.107619593709759	0.0903311787410462	0.0764608793664476	2284.4449802627	203.289410390431	745.675016586994	0
"49"	"yaaJ"	"yaaJ-3"	7156	11	163	228	301	221	242	1155	0.43986013986014	"C"	0.00816068638055724	0.00828037666060917	0.00837782499804083	0.0050185182970201	0.00518670378212947	0.00538524099025936	0.202399048429734	0.208663440824056	0.217631042774375	156.27750154107	352.751928160255	1323.22374543429	0
"51"	"yaaJ"	"yaaJ-4"	7408	10	369	561	562	421	535	2448	0.616083916083916	"C"	0.00365489587096302	0.0037460230972934	0.00381680920632923	0.00344207929430688	0.00327020528095646	0.00310462952675495	0.366218414620064	0.335098627742675	0.306553303625355	25.2654984019062	28.9668162486836	34.1811709246388	0
"53"	"yaaJ"	"yaaJ-5"	7705	9	60	69	56	41	69	295	0.823776223776224	"C"	-0.00706229253836022	-0.00739693377591679	-0.00749683861443805	0.011908493086557	0.0106410505275989	0.00942593041447883	0.59488609468962	0.53697639332393	0.484529587809012	477.530172287957	120.179350007191	79.1210639390578	0
"55"	"IR7"	"IR7-1"	7963	3	14	20	29	15	19	97	0.0180505415162455	"F"	0.00165921870139419	0.00155924586823675	0.00143307119284686	0.00552904746446852	0.00595566386012199	0.00639457079066155	0.783700073344069	0.810415414466021	0.837068832504611	18.0428903031644	16.8143360082055	16.5916562657185	0
"57"	"IR7"	"IR7-2"	8023	11	464	589	714	510	492	2769	0.234657039711191	"F"	-0.0037249328464796	-0.00319298513429213	-0.0026079296295376	0.0059286040226877	0.00602850925579777	0.00606616560930529	0.574386200545467	0.633049024515662	0.696268305011263	4370.7535101851	3730.53930054857	411.441641337279	0
"59"	"IR7"	"IR7-3"	8076	2	18	31	44	26	31	150	0.425992779783394	"F"	0.0106406006095855	0.00996364427327624	0.0091096416510562	0.00575541292089952	0.00620390889241228	0.00665140409252367	0.161617468047559	0.206619395997494	0.264329372582539	256.905697056122	79.8663044419507	93.2230478631233	0
"61"	"IR7"	"IR7-4"	8177	2	72	68	52	30	57	279	0.790613718411552	"F"	-0.0229016891490285	-0.024767086904394	-0.0256231596039161	0.0151359070165244	0.0133572709944503	0.0117977050306603	0.227469904056216	0.160752234963097	0.118247391070617	205.085790666802	68.8671724177958	68.5210948042759	0
"63"	"IR7"	"IR7-5"	8197	9	134	137	160	144	130	705	0.862815884476534	"F"	-0.00368557945060705	-0.00390405878437331	-0.00378170216426167	0.0107080205165883	0.0106376630051968	0.010310826523759	0.753417768846746	0.737976038548657	0.738133190766686	17.8195719075055	22.5265978361947	30.2685222080293	0
"65"	"talB"	"talB-1"	8266	10	132	182	220	202	219	955	0.0314795383001049	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"67"	"talB"	"talB-2"	8475	5	38	66	68	51	40	263	0.250786988457503	"F"	-0.00539728488068064	-0.00302232212620376	-0.000492883339379132	0.00953973831412303	0.00984152591389186	0.00983121057054186	0.611104998447703	0.778851213647109	0.963166399669285	853.938734577208	5745345.1395191	390.81775739323	0
"69"	"talB"	"talB-3"	8619	12	104	148	160	119	84	615	0.401888772298006	"F"	-0.0129180282063057	-0.00908948105942405	-0.00530357931878801	0.0101085243440838	0.0101764726683188	0.00971047024990308	0.291186163195078	0.437566710987165	0.622945419631358	685.3784491134	1981815.09272181	390.87338465085	0
