"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"	"qlty"
"3"	"IR1"	"IR1-1"	29	2	289	553	395	328	344	1909	0.148936170212766	"F"	0.000732051122036013	0.00131602073317823	0.00181270703340789	0.00598728505799055	0.00569876283286384	0.00538005593741376	0.910417688652824	0.832221599960832	0.758363219767793	25.5662258946751	28.9611414961302	31.5688778829894	0
"5"	"IR1"	"IR1-2"	66	1	10	14	5	4	5	38	0.345744680851064	"F"	-0.0364401081226637	-0.0367420831567025	-0.0358399823163766	0.0156534307724868	0.0127596953735994	0.0106121193650063	0.102340685177626	0.0635527653587399	0.0431783109210565	37.5284203456706	64.8311230666522	91.1331769285359	0
"7"	"IR1"	"IR1-3"	83	3	41	93	35	56	34	259	0.436170212765957	"F"	-0.00950207350801501	-0.00965962617032655	-0.0095279231806043	0.0115546532001994	0.0114606897068259	0.011328918760442	0.471144031178887	0.461205710920321	0.462081971539116	3.57054176083608	3.3284554095422	7.2819669920167	0
"11"	"thrB"	"thrB-1"	2905	1	11	1	2	0	0	14	0.112660944206009	"F"	-0.145578832036818	-0.158432095609944	-0.146333405940966	0.164196343347227	0.0819327054235711	0.0472470527190858	0.53821492935822	0.303840176200306	0.198820537998169	12.1389259348623	927.222286250855	54981.3360599024	0
"15"	"IR4"	"IR4-2"	5074	1	10	10	6	8	3	37	0.255924170616114	"F"	-0.0361213418619476	-0.034164963574719	-0.0327006014808963	0.0129564688464149	0.0126137263468734	0.0118308081904349	0.0685384384856824	0.0732539273784985	0.0699168360475691	37.263837387372	38.0585696665178	87.4214943424684	0
"19"	"IR4"	"IR4-4"	5160	4	27	40	27	18	20	132	0.663507109004739	"F"	-0.0177998818872379	-0.0168160140319357	-0.0159622624796354	0.00900073379660601	0.00764403598912581	0.00647489946363598	0.142388994320589	0.115184134947445	0.09044460841779	472.294378416909	117.55662502394	44.822061397594	0
"23"	"yaaX"	"yaaX-1"	5233	3	44	90	54	60	64	312	0.00337837837837838	"F"	0.00850616461222643	0.00928325217543649	0.00997930506175469	0.0055177445187131	0.00548115361478819	0.00538811300823295	0.220831972591791	0.188902688948494	0.161088822881971	135.916315774794	154.854007291464	211.339644063435	0
"25"	"yaaX"	"yaaX-2"	5309	6	85	188	118	99	109	599	0.260135135135135	"F"	0.00128077412152266	0.0017046599225556	0.00198348529466386	0.00765727382076088	0.00736257882675055	0.00700322673966784	0.877802589778424	0.83179632717217	0.795424441746908	38.0634910761123	69.4724223292236	159.718313138728	0
"29"	"yaaX"	"yaaX-4"	5412	2	88	179	119	121	89	596	0.608108108108108	"F"	-0.00199228572852742	-0.0020417085284507	-0.00209364531432759	0.00380165482596332	0.00387940619182057	0.00394930639402971	0.636491747354255	0.635112825567763	0.632752553253922	155.019680360973	201.821834106337	295.138182587005	0
"31"	"yaaX"	"yaaX-5"	5471	4	79	122	120	144	104	569	0.807432432432432	"F"	0.0139859404231279	0.0135391784418475	0.0129395419891216	0.0071372158576617	0.00697293194683669	0.00689868146947933	0.144911686838575	0.14746950635838	0.157370110042129	8.19818446700114	10.3958861332641	34.6989466058918	0
